Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/foodwise-session-3-food-preservation-techniques,FoodWise Session 3: Food Preservation Techniques,Tuesday,20-May-25,20-May-25,13:00,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,"Adult, Newcomers, Teen",Food Literacy and Cooking
https://booking.biblioottawalibrary.ca/en/event/watercolour-connect-aquarelle-0,Watercolour Connect,Tuesday,20-May-25,17-Jun-25,14:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Adult, Adults 50-plus","Arts and Crafts, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/how-take-better-vacation-photos-33,How to Take Better Vacation Photos,Tuesday,20-May-25,20-May-25,14:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/secret-chapter-0,The Secret Chapter,Tuesday,20-May-25,24-Jun-25,14:30,Cumberland,1599 Tenth Line,East - Orleans,English,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/themed-movie-tuesdays-d%C3%ACdi,Themed Movie Tuesdays: Dìdi,Tuesday,20-May-25,20-May-25,18:00,Main,120 Metcalfe,Central,English,Adult,Film and Movie Showing
https://booking.biblioottawalibrary.ca/en/event/italian-movie-night-dante-alighieri-society-5,Italian Movie Night with The Dante Alighieri Society,Tuesday,20-May-25,20-May-25,18:00,Sunnyside,1049 Bank,South - Alta Vista,Bilingual,Adult,Film and Movie Showing
https://booking.biblioottawalibrary.ca/en/event/tween-game-night,Tween Game Night,Tuesday,20-May-25,20-May-25,18:30,Hazeldean,50 Castlefrank,West - Kanata,English,Child,Games and Gaming
https://booking.biblioottawalibrary.ca/en/event/centennial-plant-exchange-1,Centennial Plant Exchange,Wednesday,21-May-25,21-May-25,10:00,Centennial,3870 Old Richmond,West - Nepean,English,"Adult, Adults 50-plus, Family",Home and garden
https://booking.biblioottawalibrary.ca/en/event/exploring-online-genealogy-resources-0,Exploring Online Genealogy Resources,Wednesday,21-May-25,21-May-25,11:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",History and Genealogy
https://booking.biblioottawalibrary.ca/en/event/infusions-litt%C3%A9raires-janvier-%C3%A0-juin-2025,Infusions Littéraires (janvier à juin 2025),Wednesday,21-May-25,18-Jun-25,14:00,Alta Vista,2516 Alta Vista,South - Alta Vista,Français,Adult,Book Clubs
