Latitude,Longitude,OBJECTID,PARK_ID,FACILITYID,Name,Address,Washroom,Picnic Table,Zip Line,Baby Swing,Water Play,Water Fountain,Fenced area,Accessibility,Base,Parking,Note
45.2471419,-75.9195944,540,1712,36245,Coyote Run Park,367 West Ridge Drive,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4229536,-75.6488389,721,839,31950,Presland Park,368 Presland Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2959628,-75.8713739,181,33,32616,Appaloosa Park,37 Appaloosa Drive,TBD,TBD,TBD,TBD,TBD,TBD,No,TBD,TBD,TBD,
45.332211,-75.7660353,1718,231,31288,Charing Park,37 Chartwell Avenue,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3561811,-75.9259901,222,2085,34652,Juanita Snelgrove Park,374 Kinghorn Crescent,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.2844568,-75.6846946,1325,1663,34657,Mountain Meadows Park,3740 Mountain Meadows Crescent,No,Yes - Covered,No,Yes,Splash Pad,No,No,Accessible swing,Sand,Yes,
45.3451345,-75.6399186,380,16,31019,Emerald Woods Park,3795 Alderwood Street,No,Yes - Not Covered,No,Yes,Splash Pad,Yes,No,None,Multiple,Yes,
45.2802215,-75.8612591,1487,507,31637,Huntsman Park,38 A Huntsman Crescent,No,No,No,Yes,None,No,Yes,TBD,Sand,Yes,
45.3123063,-75.8874846,140,235,31294,Cattail Creek Park,38 Chimo Drive,No,No,No,Yes,None,No,No,None,Sand,No,Washrooms at Katimavik pool ~250m away
45.3387089,-75.6930491,952,1648,32502,Uplands Riverside Park,3860 Riverside Drive,No,Yes - Covered,No,Yes,None,No,No,None,Sand,No,
45.365003,-75.7894081,1242,2460,57193,Inspiration Park,38A Winthrop Private,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.4060949,-75.6716506,518,249,31303,Brantwood Park,39 Onslow Crescent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.327612,-75.7547639,869,996,32101,Sherry Lane Park,39 Sherry Lane,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3403926,-75.6401733,440,47,31067,Baden Park,3900 Autumnwood Street,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3413726,-75.6341314,240,10,53869,Aladdin Park,3939 Albion Road,No,Yes - Covered,No,Yes,None,No,No,None,Sand,No,
45.4364649,-75.652983,1691,611,31736,Kiwanis Park,395 Levis Avenue,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.2702888,-75.6815276,138,2622,52253,Serenade Park,395 Serenade Crescent,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3508771,-75.7132446,689,1141,32251,Raoul Wallenberg Park,397 Viewmount Drive,TBD,TBD,TBD,Yes,TBD,TBD,Yes,TBD,TBD,TBD,
45.4522636,-75.6348213,624,2601,49273,Alliance Park,398 Codd's Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3978706,-75.7238873,1561,890,32005,Reid Park,40 Reid Avenue,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.4336422,-75.6822066,510,245,31323,Jules Morin Park,400 Clarence Street East,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3167311,-75.9229244,710,438,31568,Jim Malone Park,400 Goldridge Drive,TBD,TBD,TBD,TBD,TBD,TBD,Yes,TBD,TBD,TBD,
45.4297943,-75.6695831,1205,921,32024,Riverain Park,400 North River Road,TBD,TBD,TBD,Yes,Splash Pad,TBD,TBD,TBD,TBD,TBD,
45.3213686,-75.9304439,1619,2109,36256,Keyrock Park,401 Brunskill Way,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
45.437519,-75.5662107,48,82,31110,Isaiah Scharfe Park,41 Bearbrook Road,TBD,TBD,TBD,Yes,TBD,TBD,TBD,TBD,TBD,TBD,
45.3406635,-75.9302469,169,2113,35295,Richcraft Recreation Complex - Kanata,4101 Innovation Drive,TBD,TBD,TBD,TBD,Splash Pad,TBD,TBD,TBD,TBD,TBD,
