Event URL,Program Name,Day of Week,Start Date,End Date,Time,Location,Address,Area,Language,Audience,Subjects
https://booking.biblioottawalibrary.ca/en/event/teen-exam-cram-14,Teen Exam Cram!,Saturday,17-Jan-26,30-Jan-26,15:00,Carlingwood,281 Woodroffe,West - Nepean,Bilingual,Teen,"Homework and Reading Support, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/sunday-family-storytime-1,Sunday Family Storytime,Sunday,18-Jan-26,26-Apr-26,10:30,Beaverbrook,2500 Campeau,West - Kanata,English,"Child, Family",Storytime
https://booking.biblioottawalibrary.ca/en/event/sunday-morning-storytime-1,Sunday Morning Storytime,Sunday,18-Jan-26,08-Mar-26,10:30,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/stay-%E2%80%98n%E2%80%99-play-jouons-%C3%A0-la-biblio-3,Stay ‘n’ Play | Jouons à la biblio,Sunday,18-Jan-26,01-Mar-26,10:30,Main,120 Metcalfe,Central,Bilingual,"Family, Preschool, Toddler",Kids
https://booking.biblioottawalibrary.ca/en/event/sunday-family-storytime-heure-du-conte-du-dimanche-1,Sunday Family Storytime,Sunday,18-Jan-26,18-Jan-26,11:15,Cumberland,1599 Tenth Line,East - Orleans,Bilingual,"Child, Family, Preschool",Family storytime
https://booking.biblioottawalibrary.ca/en/event/atelier-th%C3%A9%C3%A2tre-en-fran%C3%A7ais,Atelier théâtre en français,Sunday,18-Jan-26,22-Feb-26,11:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,Français,Child,"Arts and Crafts, Kids"
https://booking.biblioottawalibrary.ca/en/event/sunday-afternoon-program-adults-programme-du-dimanche-apr%C3%A8s-midi-pour-adultes,Sunday Afternoon Program for Adults,Sunday,18-Jan-26,18-Jan-26,13:00,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/game-caf%C3%A9-adults-3,Game Café for Adults,Sunday,18-Jan-26,29-Mar-26,13:30,Greenboro,363 Lorry Greenberg,South - Alta Vista,Bilingual,"Adult, Adults 50-plus",Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/zentangle,Zentangle,Sunday,18-Jan-26,18-Jan-26,14:00,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,"Adult, Adults 50-plus",Arts and Crafts
https://booking.biblioottawalibrary.ca/en/event/planner-and-journal-meet,Planner and Journal Meet-Up,Sunday,18-Jan-26,18-Jan-26,14:00,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Adults 50-plus","Arts and Crafts, Hobbies and Interests, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/write-us-1,Exploratory Writing Workshops - Write With Us,Sunday,18-Jan-26,28-Jun-26,14:30,Hazeldean,50 Castlefrank,West - Kanata,English,Adult,Writing and poetry
https://booking.biblioottawalibrary.ca/en/event/family-storytime-contes-en-famille-261,Family Storytime,Monday,19-Jan-26,30-Mar-26,9:30,Rockcliffe Park,380 Springfield,East - Vanier,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/morning-fun-and-games-adults-chess-included-une-matin%C3%A9e-de-jeux-et-de-plaisir-pour-adultes,A morning of Fun and Games for Adults (Chess included)! Une matinée de jeux et de plaisir pour adultes (échecs inclus)!,Monday,19-Jan-26,25-May-26,10:00,Blackburn Hamlet,199 Glen Park,East - Orleans,Bilingual,"Adult, Adults 50-plus","Games and Gaming, Hobbies and Interests, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/employment-support-8,Employment Support,Monday,19-Jan-26,28-Dec-26,10:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus",Jobs and careers
https://booking.biblioottawalibrary.ca/en/event/toddlertime-204,Toddlertime,Monday,19-Jan-26,02-Mar-26,10:00,Cumberland,1599 Tenth Line,East - Orleans,English,"Child, Preschool, Toddler",Storytime
https://booking.biblioottawalibrary.ca/en/event/monday-storytime-and-stay-and-play,Monday Storytime and Stay and Play,Monday,19-Jan-26,02-Mar-26,10:15,Sunnyside,1049 Bank,South - Alta Vista,English,"Preschool, Toddler",Family storytime
https://booking.biblioottawalibrary.ca/en/event/toddlertime-200,Toddlertime,Monday,19-Jan-26,02-Mar-26,10:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Toddler,Storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-stay-and-play-18,Family Storytime & Stay and Play,Monday,19-Jan-26,09-Mar-26,10:30,St-Laurent,515 Côté,East - Vanier,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/monday-morning-family-storytime-stay-and-play-3,Monday Morning Family Storytime & Stay and Play,Monday,19-Jan-26,02-Mar-26,10:30,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-712,Family Storytime,Monday,19-Jan-26,02-Mar-26,10:30,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/family-storytime-728,Family Storytime,Monday,19-Jan-26,02-Mar-26,10:30,North Gower,6579 Fourth Line,West - North Gover,English,Family,Family storytime
https://booking.biblioottawalibrary.ca/en/event/coffee-and-cards-4,Coffee and Cards,Monday,19-Jan-26,30-Mar-26,12:00,Osgoode,5630 Osgoode Main,South - Osgoode,English,"Adult, Adults 50-plus","Games and Gaming, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/groupe-de-conversation-en-fran%C3%A7ais-french-conversation-group-46,groupe de conversation en français,Monday,19-Jan-26,27-Apr-26,12:30,Main,120 Metcalfe,Central,Français,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/crafternoon-44,Crafternoon,Monday,19-Jan-26,25-May-26,13:00,Rockcliffe Park,380 Springfield,East - Vanier,English,Adult,Social Connections
https://booking.biblioottawalibrary.ca/en/event/folk%E2%80%99-song-circle,'Folk’ Song Circle,Monday,19-Jan-26,15-Jun-26,13:30,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus",Music and Dance
https://booking.biblioottawalibrary.ca/en/event/afternoon-fun-and-games-adults-une-apr%C3%A8s-midi-de-jeux-et-de-plaisir-pour-adultes,An Afternoon of Fun and Games for Adults! Une après-midi de jeux et de plaisir pour adultes!,Monday,19-Jan-26,28-Dec-26,13:30,Orléans,1705 Orléans,East - Orleans,Bilingual,Adult,Hobbies and Interests
https://booking.biblioottawalibrary.ca/en/event/afternoon-english-conversation-groupgroupe-de-conversation-en-anglais-en-apr%C3%A8s-midi,Afternoon English Conversation group,Monday,19-Jan-26,11-May-26,13:30,Cumberland,1599 Tenth Line,East - Orleans,English,Adult,Language learning
https://booking.biblioottawalibrary.ca/en/event/earlyon-baby-playgroup,EarlyON Baby Playgroup,Monday,19-Jan-26,29-Jun-26,13:30,Ruth E. Dickinson,100 Malvern,West - Barrhaven,English,Baby,Babytime
https://booking.biblioottawalibrary.ca/en/event/homeschool-happenings-mon-%C3%A9cole-maison-%C3%A0-la-biblio%E2%80%8B-4,Homeschool Happenings,Monday,19-Jan-26,02-Mar-26,13:30,North Gloucester,2036 Ogilvie,East - Vanier,Bilingual,"Child, Family","Arts and Crafts, Games and Gaming, Hobbies and Interests"
https://booking.biblioottawalibrary.ca/en/event/libby-cantook-and-cloudlibrary-e-book-clinic,"Libby, Cantook and CloudLibrary E-book Clinic",Monday,19-Jan-26,19-Jan-26,14:00,Greenboro,363 Lorry Greenberg,South - Alta Vista,English,"Adult, Adults 50-plus, Newcomers",Computers and technology
https://booking.biblioottawalibrary.ca/en/event/pinecrest-employment-support-drop,Pinecrest Employment Support Drop-in,Monday,19-Jan-26,15-Jun-26,14:00,Carlingwood,281 Woodroffe,West - Nepean,English,"Adult, Adults 50-plus, Newcomers",Jobs and careers
https://booking.biblioottawalibrary.ca/en/event/blackburn-hamlet-book-chat-15,Blackburn Hamlet Book Chat,Monday,19-Jan-26,15-Jun-26,14:00,Blackburn Hamlet,199 Glen Park,East - Orleans,English,"Adult, Adults 50-plus","Book Clubs, Social Connections"
https://booking.biblioottawalibrary.ca/en/event/elmvale-acres-book-club-3,Elmvale Acres Book Club,Monday,19-Jan-26,15-Jun-26,14:00,Elmvale Acres,1910 St-Laurent,South - Alta Vista,English,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/stittsville-branch-afternoon-book-club,Stittsville Branch Afternoon Book Club,Monday,19-Jan-26,21-Dec-26,14:30,Stittsville,1637 Stittsville Main,West - Stittsville,English,"Adult, Adults 50-plus",Book Clubs
https://booking.biblioottawalibrary.ca/en/event/newcomer-support-drop,Newcomer Support Drop-in,Monday,19-Jan-26,30-Mar-26,15:00,Nepean Centrepointe,101 Centrepointe,West - Nepean,English,"Adult, Adults 50-plus, Teen",Jobs and careers
