Date,Hours,Playgroup Name,Location Name,Location Address,Area,Registration Required,Language,URL,Organizer,Age Group,Time of Day,Day of Week
2023-12-01,13:30 - 15:30,Baby & Me,Trainyards,600-700 Industrial,East,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Babies,Afternoon,Friday
2023-12-01,13:30 - 15:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Afternoon,Friday
2023-12-02,09:00 - 11:00,Saturday Morning Playgroup,CSC Vanier,270 Marier Ave.,East,No,Bilingual,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Saturday
2023-12-02,09:00 - 11:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Saturday
2023-12-02,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Saturday
2023-12-02,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,1999, av. Provence,East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Saturday
2023-12-02,09:00 - 11:30,Site Principal,Site Principal,431 Boul. St-Laurent,East,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Saturday
2023-12-02,09:30 - 11:00,English Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Yes,English,https://www.eventbrite.ca/o/somerset-west-chc-children-and-youth-31905786993,SWCHC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,EarlyON Playgroup,Carlington Community Health Centre,900 Merivale,West,No,English,https://carlingtonchc.com/programs-and-services/families/earlyon-and-child-playgroups/,Carlington CHC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,Open drop-in,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,Music with Margie,Carp Memorial Hall,434 Donald B. Munro Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,Open drop-in,Stittsville St-Andrew's Presbitarian Church,2 Mulkin St. Sttisville,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2023-12-02,09:30 - 11:30,Playgroup Pinecrest Queensway,Pinecrest Queensway Community Health Centre,1365 Richmond Road,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Saturday
2023-12-04,08:30 - 12:30,Playgroup (0-6 years),Divine Infant School,8100 Jeanne D’Arc Blvd,East,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Kids,Morning,Monday
2023-12-04,08:30 - 13:30,EarlyON Playgroup,Carlington Community Health Centre,900 Merivale,West,No,English,https://carlingtonchc.com/programs-and-services/families/earlyon-and-child-playgroups/,Carlington CHC,Kids,Morning,Monday
2023-12-04,08:45 - 10:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Monday
2023-12-04,08:45 - 12:45,Playgroup (0-6 years),St. Elizabeth School,1366 Coldrey Avenue,West,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Kids,Morning,Monday
2023-12-04,09:00 - 11:00,CTC Bilingual Playgroup (special need children),CSC Vanier,270 Marier Ave.,East,No,Bilingual,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Monday
2023-12-04,09:00 - 11:00,Active Playgroup,Richelieu-Vanier Community Centre,300 Av. des Pères-Blancs,East,No,Bilingual,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Monday
2023-12-04,09:00 - 11:00,EarlyON Playgroup,Rideauview Community Centre,4310 Shoreline Drive,South,No,English,https://gccs.ca/earlyon-drop-ins-2/,GCCS,Kids,Morning,Monday
2023-12-04,09:00 - 11:00,EarlyON Playgroup,Fred G. Barrett Arena - Lions Hall,3280 Leitrim Rd,South,No,English,https://gccs.ca/earlyon-drop-ins-2/,GCCS,Kids,Morning,Monday
2023-12-04,09:00 - 11:00,Groupe de jeu,École La Vérendrye ,614, prom. Eastvale ,East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Monday
2023-12-04,09:00 - 11:15,0-6 years Playgroup,McLean Cooperative,343 Parkin Circle,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2023-12-04,09:00 - 11:30,Metcalfe Lullabies (0-18 months),Metcalfe,8243 Victoria Street, Metcalfe,South,No,English,https://www.ruralfamilyconnections.ca/programs/earlyon,Rural Family Connections,Babies,Morning,Monday
2023-12-04,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2023-12-04,09:00 - 11:30,0-6 years Playgroup,Hunt Club Riverside,3320 Paul Anka Dr. ,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2023-12-04,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,1999, av. Provence,East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Monday
2023-12-04,09:00 - 11:30,Maison Francophonie,Maison Francophonie,2720 Richmond,West,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Monday
2023-12-04,09:00 - 11:30,École Roger-Saint-Denis,École Roger-Saint-Denis,186 cr. Barrow,West,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Monday
2023-12-04,09:00 - 12:00,Osgoode Playgroup,Osgoode,5662 Osgoode Main, Osgood,South,No,English,https://www.ruralfamilyconnections.ca/programs/earlyon,Rural Family Connections,Kids,Morning,Monday
2023-12-04,09:00 - 12:30,EarlyON Playgroup,Cambridge Street Community Public School,250 Cambridge Street North, Room 115,Central,No,English,https://www.ocdsb.ca/cms/One.aspx?portalId=55478&pageId=212978,OCDSB,Kids,Morning,Monday
2023-12-04,09:00 - 12:30,EarlyON Playgroup,Charles H. Hulse Public School,2605 Alta Vista Drive, Room 119,South,No,English,https://www.ocdsb.ca/cms/One.aspx?portalId=55478&pageId=212978,OCDSB,Kids,Morning,Monday
2023-12-04,09:00 - 12:30,EarlyON Playgroup,Hilson Avenue Public School,407 Hilson Avenue, Room 121,West,No,English,https://www.ocdsb.ca/cms/One.aspx?portalId=55478&pageId=212978,OCDSB,Kids,Morning,Monday
