Sort Order,Day of week,Time of day,Pool Name,Address,Area,Swim Type,Reservation Required?,URL
2,Tuesday,19:00 - 20:00,Lowertown Community Centre and Pool,40 Cobourg Street,Central,Lane swim ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/lowertown-community-centre-and-pool
2,Tuesday,19:00 - 20:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
2,Tuesday,19:00 - 20:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
2,Tuesday,19:00 - 20:00,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Reduced Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
2,Tuesday,19:00 - 21:00,Splash Wave Pool,2040 Ogilvie Road,East,Lane swim - reduced capacity,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
2,Tuesday,19:30 - 20:30,Deborah Anne Kirwan Pool,1300 Kitchener Avenue,South,Public swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/deborah-anne-kirwan-pool
2,Tuesday,19:30 - 20:30,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Lane Swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
2,Tuesday,19:30 - 20:30,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
2,Tuesday,19:30 - 20:30,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
2,Tuesday,19:30 - 21:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Lane swim - 50m short course,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
2,Tuesday,19:45 - 21:00,Canterbury Recreation Complex,2185 Arch Street,South,Public Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
